ORTG Rank,Team,ORTG,Morey,Pace,Ball Move,Player Move,Morey Rank,Pace Rank,Ball Rank,Player Rank
1,Los Angeles Clippers,111.3,0.4328081557,96.66,2.8,8.61,8,8,26,28
2,Portland Trail Blazers,110.4,0.4432989691,95.9,3.05,9.33,3,10,15,4
3,Miami Heat,110,0.4090019569,91.9,3.09,8.6,15,27,14,29
4,Houston Rockets,109.8,0.469823584,97.27,2.93,8.81,1,6,22,22
6,Dallas Mavericks,109.5,0.4122137405,94.94,2.97,8.93,12,15,20,17
5,San Antonio Spurs,109.5,0.3908918406,95.87,2.74,9.67,16,11,30,1
7,Oklahoma City Thunder,109.4,0.4190207156,96.33,3.21,8.69,14,9,6,27
8,Phoenix Suns,108.2,0.4410646388,96.83,3.14,8.82,4,7,10,21
9,Toronto Raptors,107.9,0.4511352419,92.48,3.16,9.12,11,24,8,10
10,Minnesota Timberwolves,107.7,0.4087932647,98.33,2.94,8.97,16,4,21,15
11,New York Knicks,107,0.4401622718,91.24,3.27,8.55,5,28,5,30
12,Golden State Warriors,106.3,0.4228187919,97.37,3.32,8.77,6,5,3,23
13,New Orleans Pelicans,106.2,0.3600802407,93.07,3.33,9.3,29,20,2,6
14,Memphis Grizzlies,105.5,0.3100936524,90.58,3.1,9.09,30,30,13,11
15,Brooklyn Nets,105.4,0.4487309645,92.42,3.14,8.69,10,25,9,25
16,Detroit Pistons,105.2,0.3554455446,95.57,3.27,8.69,22,12,4,26
18,Denver Nuggets,105.1,0.4300766284,98.95,3.12,8.89,9,3,11,20
17,Sacramento Kings,105.1,0.3850746269,95.04,3.36,9.07,26,14,1,13
19,Atlanta Hawks,104.9,0.4475247525,95.41,2.79,8.99,2,13,27,14
20,Washington Wizards,104.9,0.3872889772,94.18,2.86,8.94,19,18,25,16
21,Indiana Pacers,103.6,0.3950361944,92.89,3.12,8.73,25,23,12,24
22,Cleveland Cavaliers,103.5,0.3900203666,93.69,3.01,9.29,20,19,17,7
23,Los Angeles Lakers,103.2,0.4388349515,99.72,2.79,8.91,7,2,28,19
24,Charlotte Bobcats,103,0.3808049536,92.93,2.91,9.51,27,22,23,2
25,Utah Jazz,102.4,0.3810526316,92.32,2.98,9.33,23,26,19,5
26,Boston Celtics,101.9,0.3866943867,94.28,3.02,8.92,18,16,16,18
27,Milwaukee Bucks,101.9,0.3863874346,92.96,2.9,9.14,24,21,24,8
28,Chicago Bulls,101.7,0.3916755603,90.84,3,9.33,28,29,18,3
29,Orlando Magic,101,0.3792746114,94.27,3.18,9.08,21,17,7,12
30,Philadelphia 76ers,99,0.3778894472,99.74,2.76,9.14,13,1,29,9
