ORTGRank,Team,ORTG,Morey,Pace,BallMove,PlayerMove,MoreyRank,PaceRank,BallRank,Player Rank,Year
1,Los Angeles Clippers,111.3,0.4328081557,96.66,2.8,8.61,8,8,26,28,2014
2,Portland Trail Blazers,110.4,0.4432989691,95.9,3.05,9.33,3,10,15,4,2014
3,Miami Heat,110,0.4090019569,91.9,3.09,8.6,15,27,14,29,2014
4,Houston Rockets,109.8,0.469823584,97.27,2.93,8.81,1,6,22,22,2014
6,Dallas Mavericks,109.5,0.4122137405,94.94,2.97,8.93,12,15,20,17,2014
5,San Antonio Spurs,109.5,0.3908918406,95.87,2.74,9.67,16,11,30,1,2014
7,Oklahoma City Thunder,109.4,0.4190207156,96.33,3.21,8.69,14,9,6,27,2014
8,Phoenix Suns,108.2,0.4410646388,96.83,3.14,8.82,4,7,10,21,2014
9,Toronto Raptors,107.9,0.4511352419,92.48,3.16,9.12,11,24,8,10,2014
10,Minnesota Timberwolves,107.7,0.4087932647,98.33,2.94,8.97,16,4,21,15,2014
11,New York Knicks,107,0.4401622718,91.24,3.27,8.55,5,28,5,30,2014
12,Golden State Warriors,106.3,0.4228187919,97.37,3.32,8.77,6,5,3,23,2014
13,New Orleans Pelicans,106.2,0.3600802407,93.07,3.33,9.3,29,20,2,6,2014
14,Memphis Grizzlies,105.5,0.3100936524,90.58,3.1,9.09,30,30,13,11,2014
15,Brooklyn Nets,105.4,0.4487309645,92.42,3.14,8.69,10,25,9,25,2014
16,Detroit Pistons,105.2,0.3554455446,95.57,3.27,8.69,22,12,4,26,2014
18,Denver Nuggets,105.1,0.4300766284,98.95,3.12,8.89,9,3,11,20,2014
17,Sacramento Kings,105.1,0.3850746269,95.04,3.36,9.07,26,14,1,13,2014
19,Atlanta Hawks,104.9,0.4475247525,95.41,2.79,8.99,2,13,27,14,2014
20,Washington Wizards,104.9,0.3872889772,94.18,2.86,8.94,19,18,25,16,2014
21,Indiana Pacers,103.6,0.3950361944,92.89,3.12,8.73,25,23,12,24,2014
22,Cleveland Cavaliers,103.5,0.3900203666,93.69,3.01,9.29,20,19,17,7,2014
23,Los Angeles Lakers,103.2,0.4388349515,99.72,2.79,8.91,7,2,28,19,2014
24,Charlotte Bobcats,103,0.3808049536,92.93,2.91,9.51,27,22,23,2,2014
25,Utah Jazz,102.4,0.3810526316,92.32,2.98,9.33,23,26,19,5,2014
26,Boston Celtics,101.9,0.3866943867,94.28,3.02,8.92,18,16,16,18,2014
27,Milwaukee Bucks,101.9,0.3863874346,92.96,2.9,9.14,24,21,24,8,2014
28,Chicago Bulls,101.7,0.3916755603,90.84,3,9.33,28,29,18,3,2014
29,Orlando Magic,101,0.3792746114,94.27,3.18,9.08,21,17,7,12,2014
30,Philadelphia 76ers,99,0.3778894472,99.74,2.76,9.14,13,1,29,9,2014
1,Los Angeles Clippers,111.6,0.4517338332,95.4,2.98,8.54,4,11,21,30,2015
2,Golden State Warriors,110.4,0.44,99.28,2.67,8.9,7,1,30,18,2015
3,Toronto Raptors,110.2,0.4423076923,93.46,3.31,8.84,6,23,3,23,2015
4,Cleveland Cavaliers,110.1,0.4655674103,93.23,3.14,8.82,2,25,10,24,2015
6,Atlanta Hawks,108.2,0.4536585366,94.66,2.77,8.9,3,15,26,17,2015
5,Dallas Mavericks,108.2,0.4144486692,96.4,2.86,8.79,11,8,23,26,2015
7,San Antonio Spurs,107.6,0.4031007752,94.45,2.77,9.74,14,17,27,1,2015
9,New Orleans Pelicans,107.1,0.3792756539,92.29,3.41,9.13,21,27,1,9,2015
8,Portland Trail Blazers,107.1,0.436770428,95.06,3.16,9.29,7,12,9,6,2015
10,Oklahoma City Thunder,106.7,0.4009615385,96.61,3.14,8.9,17,6,11,19,2015
11,Chicago Bulls,106.3,0.4305555556,93.8,3.02,9.22,7,19,17,8,2015
12,Houston Rockets,106,0.5081809432,97.36,2.91,8.8,1,2,22,25,2015
13,Memphis Grizzlies,104.8,0.3377416073,92.82,3.03,9.05,30,26,16,10,2015
14,Sacramento Kings,104.5,0.385982231,96.16,3.18,9.04,20,9,7,11,2015
15,Detroit Pistons,104.3,0.4223350254,93.68,3.25,9.28,7,21,5,7,2015
17,Phoenix Suns,104.2,0.4091796875,97.2,2.99,8.63,14,3,20,29,2015
16,Utah Jazz,104.2,0.4121976866,91.1,2.68,9.37,12,30,29,4,2015
18,Denver Nuggets,103.9,0.4118226601,96.87,3.19,8.74,12,4,6,28,2015
19,Boston Celtics,103.8,0.3885601578,96.71,2.84,8.84,19,5,24,22,2015
20,Brooklyn Nets,103.4,0.3714285714,93.69,3.26,8.89,25,20,4,20,2015
21,Miami Heat,103.2,0.4002111932,91.49,3.1,8.94,17,29,13,14,2015
22,Washington Wizards,103,0.3472081218,94.29,3,8.94,29,18,19,15,2015
23,Indiana Pacers,102.9,0.4028776978,93.67,3.06,8.97,14,22,14,13,2015
24,Los Angeles Lakers,102.3,0.3756345178,95.03,3.39,9.01,21,13,2,12,2015
25,Milwaukee Bucks,102,0.3660531697,94.82,3,8.75,26,14,18,27,2015
26,Minnesota Timberwolves,101.8,0.3578732106,95.45,3.17,8.93,28,10,8,16,2015
27,Orlando Magic,101,0.3584117032,94.51,3.11,8.87,27,16,12,21,2015
28,Charlotte Hornets,99.6,0.3747346072,93.45,3.05,9.41,24,24,15,2,2015
29,New York Knicks,98.9,0.3830250272,92.06,2.69,9.4,21,28,28,3,2015
30,Philadelphia 76ers,94.9,0.4489130435,96.45,2.78,9.34,5,7,25,5,2015
1,Golden State Warriors,113.5,0.4873803307,100.24,2.6,9.03,3,2,30,17,2016
2,Oklahoma City Thunder,112.1,0.4047186933,97.54,3.25,8.92,20,10,3,23,2016
3,Cleveland Cavaliers,110.2,0.4640460211,93.82,3.13,8.91,5,28,8,24,2016
4,San Antonio Spurs,109.3,0.361352657,94.54,2.88,9.52,27,24,22,5,2016
5,Toronto Raptors,109.3,0.4537487829,93.35,3.16,9.28,7,29,6,7,2016
6,Portland Trail Blazers,107.6,0.4652711703,97.06,3.24,9.48,4,12,4,6,2016
7,Houston Rockets,107.3,0.4929577465,98.42,2.93,8.61,1,7,19,30,2016
8,LA Clippers,107.2,0.4526315789,96.81,3.11,8.65,7,13,9,29,2016
9,Charlotte Hornets,106.4,0.4883945841,96.24,3.04,9.53,2,18,14,2,2016
10,Boston Celtics,105.8,0.421948912,99.43,2.69,8.72,14,3,29,28,2016
11,Dallas Mavericks,105.5,0.4604105572,95.34,2.9,9.22,6,22,21,8,2016
12,Miami Heat,105.5,0.354,94.14,3.14,9.17,29,25,7,12,2016
13,Minnesota Timberwolves,105.4,0.3701171875,96.2,3.16,8.86,26,19,5,26,2016
15,Detroit Pistons,105.3,0.4323529412,95.75,3.28,9.08,14,21,1,16,2016
14,Sacramento Kings,105.3,0.3986866792,100.66,3,8.95,21,1,15,21,2016
16,Utah Jazz,105,0.4360286592,91.66,2.85,9.64,12,30,25,1,2016
17,Denver Nuggets,104.9,0.4170755643,96.34,3.1,9.09,17,17,10,15,2016
18,New Orleans Pelicans,104.8,0.4196689387,97.64,2.97,9.19,14,8,17,11,2016
19,Memphis Grizzlies,104.7,0.3794147326,93.95,3.07,8.92,24,27,12,22,2016
20,Atlanta Hawks,104.6,0.4406614786,97.63,2.72,8.97,11,9,28,18,2016
21,Washington Wizards,104.5,0.4063400576,99.16,2.87,8.88,19,5,23,25,2016
22,Orlando Magic,104.4,0.3780607248,96.68,2.94,9.52,25,14,18,3,2016
23,Chicago Bulls,104.1,0.3956692913,96.6,2.91,9.2,21,15,20,10,2016
24,New York Knicks,103.9,0.4004065041,94.12,2.75,9.22,21,26,27,9,2016
25,Indiana Pacers,103.8,0.4080234834,97.35,2.98,8.95,17,11,16,20,2016
26,Milwaukee Bucks,103.4,0.3353535354,95.05,3.05,8.82,30,23,13,27,2016
27,Brooklyn Nets,102.4,0.3569979716,96.12,3.07,9.14,28,20,11,13,2016
28,Phoenix Suns,101.5,0.4410307235,99.39,2.83,8.97,7,4,26,19,2016
29,Los Angeles Lakers,100.7,0.4388489209,96.55,3.27,9.13,12,16,2,14,2016
30,Philadelphia 76ers,98.4,0.4476386037,98.44,2.85,9.52,7,6,24,4,2016
1,Golden State Warriors,114.8,0.4641932701,100.37,2.64,8.91,5,4,29,23,2017
2,Houston Rockets,114.1,0.5507372073,100.55,3.03,8.54,1,3,14,30,2017
3,Cleveland Cavaliers,112.8,0.5122393472,96.74,3.19,8.68,2,16,6,29,2017
4,Denver Nuggets,112.2,0.4521038496,99.18,2.97,9.14,13,6,18,13,2017
